ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,share
"asian","Asian",2022,"2022",35689,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.043736251616105296
"black","Black or African American",2022,"2022",112349,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.1376817544010147
"hawaiian","Native Hawaiian or Other Pacific Islanders",2022,"2022",2044,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.002504886612214386
"hispanic","Hispanic or Latino",2022,"2022",117930,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.14452117327712452
"multiracial","Two or More Races",2022,"2022",33749,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.041358815203338214
"native","American Indian or Alaska Native",2022,"2022",6334,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.007762207339415812
"nonresident","Non-resident Alien",2022,"2022",42268,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.05179870221383447
"white","White",2022,"2022",465642,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5706362093369526
"asian","Asian",2022,"2022",17218,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.04762194514819281
"black","Black or African American",2022,"2022",41801,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.11561417871643674
"hawaiian","Native Hawaiian or Other Pacific Islanders",2022,"2022",504,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.0013939749305778358
"hispanic","Hispanic or Latino",2022,"2022",38326,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.10600294283596455
"multiracial","Two or More Races",2022,"2022",16913,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.04677836904933123
"native","American Indian or Alaska Native",2022,"2022",2486,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.006875836661540674
"nonresident","Non-resident Alien",2022,"2022",22037,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.06095044751020589
"white","White",2022,"2022",222271,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.6147623051477503
"asian","Asian",2022,"2022",55,"Berea College","156295","berea-college",0.038896746817538894
"black","Black or African American",2022,"2022",264,"Berea College","156295","berea-college",0.1867043847241867
"hawaiian","Native Hawaiian or Other Pacific Islanders",2022,"2022",1,"Berea College","156295","berea-college",0.0007072135785007072
"hispanic","Hispanic or Latino",2022,"2022",218,"Berea College","156295","berea-college",0.15417256011315417
"multiracial","Two or More Races",2022,"2022",125,"Berea College","156295","berea-college",0.0884016973125884
"native","American Indian or Alaska Native",2022,"2022",0,"Berea College","156295","berea-college",0
"nonresident","Non-resident Alien",2022,"2022",119,"Berea College","156295","berea-college",0.08415841584158416
"white","White",2022,"2022",632,"Berea College","156295","berea-college",0.44695898161244696
"asian","Asian",2021,"2021",34707,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.04266705022386463
"black","Black or African American",2021,"2021",114981,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.14135189160083497
"hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",2125,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.002612368736154446
"hispanic","Hispanic or Latino",2021,"2021",113880,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.1399983772580086
"multiracial","Two or More Races",2021,"2021",37060,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.04555971075853353
"native","American Indian or Alaska Native",2021,"2021",6461,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.007942830307903
"nonresident","Non-resident Alien",2021,"2021",36406,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.044755715862794705
"white","White",2021,"2021",467818,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5751120552519061
"asian","Asian",2021,"2021",16885,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.04657918185053283
"black","Black or African American",2021,"2021",41522,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.11454313229480746
"hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",487,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.0013434445698080834
"hispanic","Hispanic or Latino",2021,"2021",37935,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.1046479871779664
"multiracial","Two or More Races",2021,"2021",16442,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.04535711625623102
"native","American Indian or Alaska Native",2021,"2021",2767,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.007633082391496851
"nonresident","Non-resident Alien",2021,"2021",20928,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.05773225453171164
"white","White",2021,"2021",225535,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.6221638009274457
"asian","Asian",2021,"2021",54,"Berea College","156295","berea-college",0.03706245710363761
"black","Black or African American",2021,"2021",268,"Berea College","156295","berea-college",0.18393960192175704
"hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",2,"Berea College","156295","berea-college",0.0013726835964310226
"hispanic","Hispanic or Latino",2021,"2021",208,"Berea College","156295","berea-college",0.14275909402882636
"multiracial","Two or More Races",2021,"2021",126,"Berea College","156295","berea-college",0.08647906657515443
"native","American Indian or Alaska Native",2021,"2021",0,"Berea College","156295","berea-college",0
"nonresident","Non-resident Alien",2021,"2021",115,"Berea College","156295","berea-college",0.0789293067947838
"white","White",2021,"2021",684,"Berea College","156295","berea-college",0.46945778997940973
"asian","Asian",2020,"2020",34234,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.041273729923152785
"black","Black or African American",2020,"2020",118736,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.14315235135115584
"hawaiian","Native Hawaiian or Other Pacific Islanders",2020,"2020",2129,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.002566798241701007
"hispanic","Hispanic or Latino",2020,"2020",115857,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.13968132639208716
"multiracial","Two or More Races",2020,"2020",35489,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.04278680263021468
"native","American Indian or Alaska Native",2020,"2020",6552,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.007899324602923908
"nonresident","Non-resident Alien",2020,"2020",39888,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.04809039373648181
"white","White",2020,"2020",476553,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5745492731222828
